id_pedido	fecha	dia_semana	punto_venta	turno	tipo_pizza	tiempo_preparacion	tiempo_entrega	temperatura_salida	errores_pedido	satisfaccion_cliente
P00001	2025-04-02	miércoles	A	Noche	Pollo BBQ	10	25.4	210.4	0	Bueno
P00002	2025-11-06	jueves	A	Noche	Pepperoni	10	19.6	225.2	0	Bueno
P00003	2025-05-19	lunes	A	Noche	Vegetariana	12.1	25.2	204.4	0	Bueno
P00004	2025-10-17	viernes	B	Tarde	Vegetariana	13.3	24	207.8	0	Bueno
P00005	2025-07-01	martes	A	Mañana	Hawaiana	11	35	223.3	0	Malo
P00006	2025-01-03	viernes	A	Tarde	Pollo BBQ	11.9	38	196.5	0	Malo
P00007	2025-05-20	martes	A	Tarde	Vegetariana	13.3	33	208.4	0	Malo
P00008	2025-09-14	domingo	A	Noche	Pollo BBQ	10.6	32.5	204.7	0	Regular
P00009	2025-04-17	jueves	A	Tarde	Vegetariana	12.3	29.1	203.4	0	Regular
P00010	2025-01-08	miércoles	A	Tarde	Vegetariana	13.4	39.8	214.7	1	Regular
P00011	2025-07-20	domingo	B	Mañana	Pepperoni	10.3	22	198.6	0	Bueno
P00012	2025-12-16	martes	A	Tarde	Pollo BBQ	11.4	24.9	203.4	0	Bueno
P00013	2025-07-05	sábado	A	Tarde	Vegetariana	13.5	34.8	213.2	0	Bueno
P00014	2025-07-30	miércoles	A	Tarde	Pepperoni	20	47	202.6	1	Malo
P00015	2025-03-09	domingo	A	Tarde	Hawaiana	13.7	28.6	204.8	1	Regular
P00016	2025-02-15	sábado	A	Tarde	Vegetariana	10.7	22.1	200	0	Bueno
P00017	2025-11-05	miércoles	A	Noche	Hawaiana	12.4	30.7	203.1	0	Regular
P00018	2025-07-10	jueves	A	Noche	Hawaiana	15	29.1	204.1	0	Regular
P00019	2025-06-24	martes	A	Mañana	Pepperoni	13.8	29.3	215.4	0	Regular
P00020	2025-09-20	sábado	A	Noche	Vegetariana	11.1	22.7	218.1	0	Bueno
P00021	2025-05-04	domingo	A	Noche	Vegetariana	11.7	26.8	223.9	1	Bueno
P00022	2025-11-17	lunes	A	Noche	Vegetariana	10.8	16.2	190.4	0	Bueno
P00023	2025-05-13	martes	A	Mañana	Vegetariana	10.7	28	218.6	0	Regular
P00024	2025-07-16	miércoles	A	Noche	Pollo BBQ	10.3	29	215.9	0	Regular
P00025	2025-02-24	lunes	A	Tarde	Pepperoni	10.4	23.6	203.9	0	Bueno
P00026	2025-06-19	jueves	A	Noche	Hawaiana	7.7	26	207.2	0	Regular
P00027	2025-05-03	sábado	A	Noche	Pollo BBQ	11.9	27.8	210.5	0	Bueno
P00028	2025-11-15	sábado	A	Tarde	Hawaiana	13	25.2	202.5	0	Bueno
P00029	2025-09-19	viernes	A	Tarde	Vegetariana	21	51	215.4	0	Malo
P00030	2025-04-09	miércoles	A	Tarde	Pepperoni	15.3	31	189.3	1	Regular
P00031	2025-11-21	viernes	A	Tarde	Vegetariana	14.9	32.3	212.9	0	Regular
P00032	2025-04-15	martes	A	Noche	Pepperoni	12.8	19.6	210.9	0	Bueno
P00033	2025-02-01	sábado	A	Tarde	Pepperoni	19	40	218.1	2	Malo
P00034	2025-01-14	martes	A	Tarde	Vegetariana	14.8	25.2	219.3	0	Bueno
P00035	2025-07-02	miércoles	A	Mañana	Vegetariana	14.2	28.3	209.2	0	Regular
P00036	2025-02-14	viernes	A	Tarde	Pepperoni	15	35	215.7	0	Bueno
P00037	2025-05-23	viernes	A	Tarde	Hawaiana	10.5	24.3	213.8	0	Bueno
P00038	2025-08-15	viernes	A	Noche	Hawaiana	13	22.7	212.9	0	Bueno
P00039	2025-08-03	domingo	B	Noche	Pepperoni	10.9	21	204.5	0	Bueno
P00040	2025-07-31	jueves	A	Mañana	Pollo BBQ	11.7	31.7	210.8	0	Bueno
P00041	2025-06-20	viernes	A	Mañana	Hawaiana	12.8	28	207.8	0	Regular
P00042	2025-11-27	jueves	A	Noche	Vegetariana	12.6	27.9	211.5	0	Bueno
P00043	2025-07-15	martes	A	Tarde	Pepperoni	13.8	37.4	212.4	0	Bueno
P00044	2025-04-10	jueves	A	Noche	Vegetariana	11.8	30.8	207.7	0	Regular
P00045	2025-09-07	domingo	A	Tarde	Vegetariana	14	36.2	212.5	0	Regular
P00046	2025-07-16	miércoles	A	Noche	Vegetariana	13.1	25	202.1	0	Bueno
P00047	2025-01-02	jueves	A	Tarde	Pollo BBQ	12	27.9	198.2	0	Bueno
P00048	2025-08-21	jueves	A	Noche	Pollo BBQ	12.1	33.8	199.5	1	Bueno
P00049	2025-08-16	sábado	B	Noche	Pepperoni	9.7	20	207.5	1	Bueno
P00050	2025-03-14	viernes	A	Mañana	Vegetariana	12.7	27.7	206.9	0	Regular
P00051	2025-11-25	martes	A	Tarde	Pepperoni	18	22	214.4	0	Bueno
P00052	2025-06-07	sábado	A	Noche	Vegetariana	13.2	32.8	202.8	0	Regular
P00053	2025-05-03	sábado	A	Mañana	Pepperoni	17	38	203.8	0	Regular
P00054	2025-02-08	sábado	A	Mañana	Hawaiana	10.5	24.9	201.7	0	Bueno
P00055	2025-01-07	martes	A	Tarde	Pollo BBQ	8	23.8	215.1	0	Bueno
