id_pieza	Maquina	turno	operador	lote_material	temperatura_amb	vibracion	Longitud	fuera_especificacion_longitud	Peso	fuera_especificacion_peso	Ciudad	Punto_venta	Tipo_cliente	Latitud	Longitud_geo	Fecha_entrega	oportunidades	defectos	tipo_defecto
P0001	1	Mañana	OP6	L2	21,1203258821928	3,49253411677016	9	0	248,6	Conforme	Cali	Punto Valle del Lili	Cliente	3,38174755355278	-76,525565630397	2026-03-06	4	0	Sin defecto
P0002	1	Noche	OP5	L1	24,4410976601511	3,45302229449934	9,5	1	251,5	Conforme	Cali	Punto Valle del Lili	Cliente	3,38128974840445	-76,5436284334438	2026-02-10	4	0	Sin defecto
P0003	1	Noche	OP4	L2	25,8266724714833	3,73151449270746	8,7	0	249,1	Conforme	Bogotá	Cliente Chapinero	Tienda	4,63974816108951	-74,0638240515882	2026-03-08	4	0	Sin defecto
P0004	1	Mañana	OP1	L1	18,6405675971198	3,04758722899957	8,8	0	249,5	Conforme	Cali	Cliente Granada	Cliente	3,4720524448528	-76,5407876855932	2026-01-01	4	0	Sin defecto
P0005	1	Mañana	OP1	L4	22,5637485593622	3,39172772553004	8,7	0	249	Conforme	Bogotá	Cliente Chapinero	Distribuidor	4,63634934084387	-74,0555159858031	2026-02-08	4	0	Sin defecto
P0006	1	Tarde	OP5	L3	21,2604484782747	3,67746499305847	9,3	0	247,6	Conforme	Medellín	Tienda Laureles	Distribuidor	6,25718043237068	-75,5909639611685	2026-02-13	4	0	Sin defecto
P0007	1	Mañana	OP5	L4	23,2603775290599	3,75518247105239	9,6	1	250,5	Conforme	Bogotá	Tienda Kennedy	Cliente	4,62664141322467	-74,1602669204784	2026-03-20	4	0	Sin defecto
P0008	1	Mañana	OP2	L1	23,6418560395152	3,70734778094337	9,2	0	253	Conforme	Cali	Sucursal San Fernando	Distribuidor	3,42295230217949	-76,5450048884519	2026-02-14	4	0	Sin defecto
P0009	1	Noche	OP1	L2	21,5243111512082	3,46866506942221	9,6	1	250,3	Conforme	Cali	Cliente Granada	Cliente	3,45663427573387	-76,5314865658251	2026-01-10	4	0	Sin defecto
P0010	1	Noche	OP4	L2	22,3433540809422	3,37835723938962	9	0	247,6	Conforme	Cali	Cliente Granada	Tienda	3,4716284463577	-76,5391359639592	2026-03-30	4	0	Sin defecto
P0011	1	Tarde	OP4	L3	26,299556478498	4,9757063831522	9,7	1	251,5	Conforme	Cali	Sucursal San Fernando	Distribuidor	3,44489700680804	-76,5553287371228	2026-02-01	4	0	Sin defecto
P0012	1	Tarde	OP4	L3	26,299556478498	4,9757063831522	9,7	1	249,9	Conforme	Cali	Sucursal San Fernando	Distribuidor	3,44489700680804	-76,5553287371228	2026-02-01	4	0	Sin defecto
P0013	1	Tarde	OP5	L4	23,3066145090426	3,63319927565957	9	0	249,4	Conforme	Bogotá	Sucursal Usaquén	Cliente	4,71067661779188	-74,0247191720604	2026-01-25	4	0	Sin defecto
P0014	1	Tarde	OP5	L4	23,3066145090426	3,63319927565957	9	0	252	Conforme	Bogotá	Sucursal Usaquén	Cliente	4,71067661779188	-74,0247191720604	2026-01-25	4	0	Sin defecto
P0015	1	Tarde	OP3	L2	23,0561748134394	3,50171576754098	8,9	0	250	Conforme	Bogotá	Sucursal Usaquén	Cliente	4,70192049880465	-74,0459056652346	2026-01-26	4	0	Sin defecto
P0016	1	Noche	OP4	L2	25,1225006821885	4,35709984188329	8,9	0	251	Conforme	Bogotá	Tienda Kennedy	Distribuidor	4,62649355579615	-74,1491795895331	2026-01-15	4	0	Sin defecto
P0017	1	Noche	OP1	L2	25,7296688352255	3,49223072553972	7,9	1	250,2	Conforme	Bogotá	Cliente Chapinero	Cliente	4,63571466933135	-74,0538535283761	2026-02-17	4	0	Sin defecto
P0018	1	Tarde	OP4	L1	25,5567300075137	3,91364991013503	9,4	1	249,4	Conforme	Medellín	Cliente El Poblado	Tienda	6,20228557198886	-75,5746238095474	2026-01-29	4	0	Sin defecto
P0019	1	Mañana	OP1	L3	25,6748530145586	3,20957828691284	8,8	0	251	Conforme	Medellín	Tienda Laureles	Tienda	6,25361801163834	-75,5876634636017	2026-02-25	4	0	Sin defecto
P0020	1	Tarde	OP4	L1	25,5567300075137	3,91364991013503	9,4	1	250,6	Conforme	Medellín	Cliente El Poblado	Tienda	6,20228557198886	-75,5746238095474	2026-01-29	4	0	Sin defecto
P0021	1	Noche	OP6	L2	23,4161584861653	3,66243870607242	9,4	1	248,9	Conforme	Medellín	Sucursal Belén	Distribuidor	6,23398015895803	-75,5950816562747	2026-03-30	4	0	Sin defecto
P0022	1	Tarde	OP2	L2	23,9501804129463	3,85665900151848	9,3	0	253,1	Conforme	Cali	Punto Valle del Lili	Distribuidor	3,37641467804955	-76,5521065808895	2026-02-19	4	0	Sin defecto
P0023	1	Tarde	OP2	L2	23,5848330447087	3,67772916810987	8,7	0	252,2	Conforme	Cali	Cliente Granada	Tienda	3,4540549946459	-76,5343399252492	2026-01-05	4	0	Sin defecto
P0024	1	Mañana	OP1	L4	19,7191630323002	3,54087074645335	9,2	0	250,4	Conforme	Bogotá	Tienda Kennedy	Distribuidor	4,62118978612339	-74,1465875672539	2026-01-22	4	0	Sin defecto
P0025	1	Tarde	OP3	L2	23,0561748134394	3,50171576754098	8,9	0	250,8	Conforme	Bogotá	Sucursal Usaquén	Cliente	4,70192049880465	-74,0459056652346	2026-01-26	4	0	Sin defecto
P0026	1	Tarde	OP6	L2	24,7891830950626	3,87181123139969	9,2	0	246,7	Conforme	Cali	Punto Valle del Lili	Cliente	3,38962457710346	-76,539458932196	2026-02-15	4	0	Sin defecto
P0027	1	Mañana	OP3	L3	24,9718529470337	3,17405738763868	9,5	1	252,1	Conforme	Cali	Cliente Granada	Tienda	3,46068389988262	-76,5390960257902	2026-02-23	4	0	Sin defecto
P0028	1	Mañana	OP1	L3	24,4930056090862	4,14242840142297	8,9	0	248,5	Conforme	Cali	Cliente Granada	Cliente	3,46101110984562	-76,5266232999629	2026-02-03	4	0	Sin defecto
P0029	1	Noche	OP4	L2	25,8515411840622	2,74921473904577	8,8	0	252,1	Conforme	Cali	Punto Valle del Lili	Cliente	3,37824809672013	-76,5432623611639	2026-02-05	4	0	Sin defecto
P0030	1	Mañana	OP5	L2	20,2948494006362	3,43319004886024	9,2	0	251,3	Conforme	Bogotá	Sucursal Usaquén	Distribuidor	4,71724177425448	-74,0212519938041	2026-02-04	4	0	Sin defecto
P0031	1	Mañana	OP3	L2	24,7944583870171	3,12664662854355	9	0	248,7	Conforme	Bogotá	Cliente Chapinero	Tienda	4,65068147987956	-74,0735173236205	2026-01-01	4	0	Sin defecto
P0032	1	Tarde	OP3	L2	25,7769153028009	3,17600632581613	9,3	0	250,7	Conforme	Medellín	Sucursal Belén	Cliente	6,2260940537829	-75,5936559847065	2026-01-17	4	0	Sin defecto
P0033	1	Noche	OP1	L3	24,4394568090193	3,65426797061172	9	0	246,5	Conforme	Bogotá	Sucursal Usaquén	Cliente	4,69098337470042	-74,0328172598485	2026-03-08	4	0	Sin defecto
P0034	1	Tarde	OP6	L2	24,7891830950626	3,87181123139969	9,2	0	252	Conforme	Cali	Punto Valle del Lili	Cliente	3,38962457710346	-76,539458932196	2026-02-15	4	0	Sin defecto
P0035	1	Mañana	OP3	L1	22,6472833482193	3,33445268498586	9,8	1	250,6	Conforme	Medellín	Cliente El Poblado	Tienda	6,20426158481156	-75,5702535902521	2026-03-26	4	0	Sin defecto
P0036	1	Mañana	OP6	L4	26,0290564993766	4,02289537183984	8,6	0	251,8	Conforme	Bogotá	Tienda Kennedy	Tienda	4,63151438553333	-74,1683949947347	2026-01-13	4	0	Sin defecto
P0037	1	Mañana	OP5	L2	24,4178148036391	3,67017679014851	9,8	1	251,2	Conforme	Bogotá	Sucursal Usaquén	Cliente	4,7147023373954	-74,0291090821437	2026-03-04	4	0	Sin defecto
P0038	1	Mañana	OP5	L2	24,4178148036391	3,67017679014851	9,8	1	249	Conforme	Bogotá	Sucursal Usaquén	Cliente	4,7147023373954	-74,0291090821437	2026-03-04	4	0	Sin defecto
P0039	1	Tarde	OP5	L1	26,1106771820873	3,54968769096437	10	1	253,1	Conforme	Medellín	Sucursal Belén	Cliente	6,22264459027387	-75,6000869529692	2026-02-27	4	0	Sin defecto
P0040	1	Mañana	OP4	L1	23,6139191636684	3,64452718434681	9,3	0	248,6	Conforme	Medellín	Sucursal Belén	Tienda	6,22001252325661	-75,607579052341	2026-01-20	4	0	Sin defecto
P0041	1	Mañana	OP1	L2	22,3309685310234	4,07491255529971	9,6	1	250,9	Conforme	Medellín	Sucursal Belén	Tienda	6,23920782057978	-75,612664251148	2026-01-25	4	0	Sin defecto
P0042	1	Tarde	OP2	L3	25,3618311647741	4,29134448923485	9,7	1	247,6	Conforme	Bogotá	Tienda Kennedy	Tienda	4,63384616737002	-74,1653633935949	2026-02-24	4	0	Sin defecto
P0043	1	Noche	OP2	L2	25,7374345450107	2,22886504395816	9,1	0	250,3	Conforme	Bogotá	Tienda Kennedy	Tienda	4,63833094239449	-74,1680369534845	2026-02-17	4	0	Sin defecto
P0044	1	Noche	OP4	L2	22,3433540809422	3,37835723938962	9	0	251,6	Conforme	Cali	Cliente Granada	Tienda	3,4716284463577	-76,5391359639592	2026-03-30	4	0	Sin defecto
P0045	1	Tarde	OP2	L3	25,3618311647741	4,29134448923485	9,7	1	249,6	Conforme	Bogotá	Tienda Kennedy	Tienda	4,63384616737002	-74,1653633935949	2026-02-24	4	0	Sin defecto
P0046	1	Mañana	OP5	L1	22,3517812476098	3,64886180683687	8,1	0	248,8	Conforme	Medellín	Cliente El Poblado	Tienda	6,19704535588268	-75,555999167112	2026-02-25	4	0	Sin defecto
P0047	1	Noche	OP5	L3	26,435827024891	3,84085249198796	9,6	1	247,4	Conforme	Bogotá	Cliente Chapinero	Cliente	4,64183636090849	-74,055841638653	2026-01-30	4	0	Sin defecto
P0048	1	Mañana	OP3	L3	23,8060288622045	2,92063752055455	9,3	0	251,5	Conforme	Bogotá	Tienda Kennedy	Cliente	4,63934165571332	-74,1539171658795	2026-02-13	4	0	Sin defecto
