"","lote","n_inspeccionadas","n_defectuosas","total_defectos"
"1",1,100,3,5
"2",2,100,4,6
"3",3,100,5,9
"4",4,100,4,10
"5",5,100,10,18
"6",6,100,6,11
"7",7,100,4,8
"8",8,100,4,9
"9",9,100,5,9
"10",10,100,2,3
"11",11,100,6,8
"12",12,100,5,8
"13",13,100,4,9
"14",14,100,3,6
"15",15,100,5,11
"16",16,100,7,11
"17",17,100,3,5
"18",18,100,7,17
"19",19,100,5,11
"20",20,100,4,8
"21",21,100,7,17
"22",22,100,5,11
"23",23,100,2,5
"24",24,100,4,7
"25",25,100,9,14
"26",26,100,6,16
"27",27,100,9,16
"28",28,100,4,6
"29",29,100,5,7
"30",30,100,5,9
