"","Gravedad_victima","Fecha_incidente","Hora_incidente","Clase_incidente","Direccion_incidente","Sexo","Edad","Condicion","Mes","Dia","Num_dia","Hora","Grupo_edad","Año","Radicado","Latitud","Longitud","Comuna","Barrio"
"244","Muertos","4/01/2014","13:00:00","Atropello","CR 57 CL 46","M","82","Peatón","Ene","Sáb",4,"13","80 o más",2014,6168,"6,249125105","-75,57519872","10 - La Candelaria","Guayaquil"
"323","Muertos","5/01/2014","20:30:00","Atropello","CL 57 CR 42 51","M","76","Peatón","Ene","Dom",5,"20","70 - 79",2014,7754,"6,25157741","-75,55962899","10 - La Candelaria","Los Ángeles"
"336","Muertos","6/01/2014","10:56:00","Choque","CR 44 CL 67 - 18","M","45","Motociclista","Ene","Lun",6,"10","40 - 49",2014,523,"6,263127892","-75,55424534","03 - Manrique","Manrique Central No. 2"
"351","Muertos","6/01/2014","14:00:00","Choque","CL 47 CL 47","M","63","Peatón","Ene","Lun",6,"14","60 - 69",2014,535,"6,246221401","-75,56686208","10 - La Candelaria","Barrio Colón"
"385","Muertos","7/01/2014","07:50:00","Choque","CR 68 A CL 109 - 33","M","28","Motociclista","Ene","Mar",7,"7","20 - 29",2014,750,"6,306449816","-75,56759986","05 - Castilla","Tejelo"
"400","Muertos","7/01/2014","14:20:00","Atropello","CL 58 CR 130","F","67","Peatón","Ene","Mar",7,"14","60 - 69",2014,751,"6,27520546","-75,63489802","60 - Corregimiento de San Cristóbal","La Loma"
"431","Muertos","7/01/2014","19:20:00","Choque","CR 49 CL 20 - 15","M","23","Motociclista","Ene","Mar",7,"19","20 - 29",2014,742,"6,224175454","-75,57511232","14 - El Poblado","Villa Carlota"
"521","Muertos","9/01/2014","12:20:00","Choque","CL 52 CR 26","M","12","Ciclista","Ene","Jue",9,"12","10 - 19",2014,1080,"6,24231964","-75,54850188","08 - Villa Hermosa","El Pinal"
"547","Muertos","9/01/2014","18:16:00","Atropello","CR 62 CL 57 - 58","M","65","Peatón","Ene","Jue",9,"18","60 - 69",2014,1149,"6,173812503","-75,64389092","80 - Corregimiento de San Antonio de Prado","Cabecera San Antonio de Prado"
"562","Muertos","10/01/2014","01:13:00","Atropello","CR 63 CL 57 B","F","29","Peatón","Ene","Vie",10,"1","20 - 29",2014,1162,"6,172888741","-75,64452274","80 - Corregimiento de San Antonio de Prado","Cabecera San Antonio de Prado"
"680","Muertos","11/01/2014","17:35:00","Otro","CR 80 CL 79 B - 04","M","33","Motociclista","Ene","Sáb",11,"17","30 - 39",2014,1521,"6,282498003","-75,58481435","07 - Robledo","Altamira"
"734","Muertos","12/01/2014","13:30:00","Atropello","CL 81 CR 31 A - 29","M","4","Peatón","Ene","Dom",12,"13","0 - 9",2014,1491,"6,271567438","-75,54480811","03 - Manrique","Oriente"
"858","Muertos","13/01/2014","22:40:00","Atropello","CR 57 CL 46","M","24","Peatón","Ene","Lun",13,"22","20 - 29",2014,1886,"6,249125105","-75,57519872","10 - La Candelaria","Guayaquil"
"865","Muertos","14/01/2014","04:18:00","Choque","CL 39A CR 34 - 74","M","23","Motociclista","Ene","Mar",14,"4","20 - 29",2014,1785,"6,236438501","-75,56053544","09 - Buenos Aires","El Salvador"
"881","Muertos","14/01/2014","10:05:00","Atropello","CL 66C CR 105 - 143","M","10","Peatón","Ene","Mar",14,"10","10 - 19",2014,1971,"6,283208145","-75,61820822","60 - Corregimiento de San Cristóbal","Área de Expansión Pajarito"
"984","Muertos","15/01/2014","15:10:00","Choque","CR 64 C CL 72 - 209","F","30","Motociclista","Ene","Mié",15,"15","30 - 39",2014,2272,"6,270420059","-75,5738452","05 - Castilla","Caribe"
"991","Muertos","15/01/2014","15:30:00","Atropello","CL 58 CR 30 - 3","M","53","Peatón","Ene","Mié",15,"15","50 - 59",2014,5754,"6,249300118","-75,55029516","08 - Villa Hermosa","Enciso"
"1026","Muertos","15/01/2014","21:45:00","Atropello","CR 57 CL 45 A","M","57","Peatón","Ene","Mié",15,"21","50 - 59",2014,2263,"6,248352959","-75,575123","10 - La Candelaria","Guayaquil"
"1099","Muertos","16/01/2014","19:15:00","Atropello","CR 49 CL 69","F","72","Peatón","Ene","Jue",16,"19","70 - 79",2014,20523,"6,265173288","-75,55940244","04 - Aranjuez","Manrique Central No. 1"
"1101","Muertos","16/01/2014","19:30:00","Choque","CR 62 CL 37","M","34","Motociclista","Ene","Jue",16,"19","30 - 39",2014,2782,"6,239844312","-75,57602183","10 - La Candelaria","La Alpujarra"
"1118","Muertos","17/01/2014","05:45:00","Choque","CR 50 CL 29 C","F","51","Motociclista","Ene","Vie",17,"5","50 - 59",2014,2507,"6,231921356","-75,57439481","10 - La Candelaria","Perpetuo Socorro"
"1278","Muertos","19/01/2014","01:27:00","Choque","CR 71 B CL 89 B","M","19","Acompañante de Motocicleta","Ene","Dom",19,"1","10 - 19",2014,2832,"6,284582948","-75,57808013","05 - Castilla","Alfonso López"
"1340","Muertos","20/01/2014","07:00:00","Choque","CR 50 CL 57","M","23","Motociclista","Ene","Lun",20,"7","20 - 29",2014,9184,"6,255156832","-75,56477398","10 - La Candelaria","Villa Nueva"
"1362","Muertos","20/01/2014","10:24:00","Atropello","CL 56 CR 86 - 09","F","62","Peatón","Ene","Lun",20,"10","60 - 69",2014,5611,"6,252704689","-75,5627379","10 - La Candelaria","Villa Nueva"
"1654","Muertos","24/01/2014","07:17:00","Caida Ocupante","CR 79 A CL 92","M","32","Ciclista","Ene","Vie",24,"7","30 - 39",2014,3930,"6,289937799","-75,58384833","06 - Doce de Octubre","Kennedy"
"1732","Muertos","25/01/2014","04:05:00","Atropello","CR 64 A CL 111 A","M","24","Peatón","Ene","Sáb",25,"4","20 - 29",2014,4182,"6,30319785","-75,55935","05 - Castilla","Héctor Abad Gómez"
"1744","Muertos","25/01/2014","11:15:00","Choque","CL 18 CR 94 - 95","M","39","Motociclista","Ene","Sáb",25,"11","30 - 39",2014,4201,"6,222449537","-75,61666884","70 - Corregimiento de Altavista","Altavista Sector Central"
"1805","Muertos","26/01/2014","05:45:00","Atropello","Vía San Pedro Km 12","F","81","Peatón","Ene","Dom",26,"5","80 o más",2014,4285,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"1905","Muertos","27/01/2014","09:20:00","Atropello","TV 39 B CR 74 A - 19","M","57","Peatón","Ene","Lun",27,"9","50 - 59",2014,4525,"6,245593443","-75,59590281","11 - Laureles Estadio","Laureles"
"1984","Muertos","28/01/2014","06:35:00","Atropello","CL 30 A CR 76","M","88","Peatón","Ene","Mar",28,"6","80 o más",2014,4869,"6,19638806","-75,56274057","14 - El Poblado","Los Naranjos"
"2016","Muertos","28/01/2014","15:00:00","Atropello","CR 46 CL 50","F","86","Peatón","Ene","Mar",28,"15","80 o más",2014,6757,"6,24834881","-75,56520664","10 - La Candelaria","La Candelaria"
"2236","Muertos","31/01/2014","07:50:00","Choque","Cr 80 Cl 65","F","35","Motociclista","Ene","Vie",31,"7","30 - 39",2014,5691,"6,273389174","-75,59302127","07 - Robledo","Facultad de Minas U. Nacional"
"2259","Muertos","31/01/2014","12:20:00","Choque","CR 45 CL 70 - 07","F","31","Acompañante de Motocicleta","Ene","Vie",31,"12","30 - 39",2014,5612,"6,265206677","-75,55524308","03 - Manrique","Manrique Central No. 2"
